"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
2018,57900,6.59057437407953,2.71363460845882,0,-2.71363460845882,-3.67174881276692,63170,0.91657432325471,-0.285695636614347,-1.86499175548042,-0.643990666070682,"Singapore","SGP"
2019,59590,2.91882556131261,2.1099902170018,0,-2.1099902170018,NA,65850,0.904935459377373,-1.16388638773367,-2.08747054750446,-0.222478792024041,"Singapore","SGP"
1960,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,"Portugal","PRT"
1961,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","PRT"
1962,410,NA,0,9.85663381231228,9.85663381231228,NA,3280,0.125,NA,NA,NA,"Portugal","PRT"
1963,430,4.8780487804878,0,12.0530789232372,12.0530789232372,4.42427680090754,3410,0.126099706744868,0.109970674486803,NA,NA,"Portugal","PRT"
1964,470,9.30232558139535,0,12.5286865469476,12.5286865469476,1.33597229094508,3610,0.130193905817175,0.409419907230649,NA,NA,"Portugal","PRT"
1965,520,10.6382978723404,0,13.6791566773342,13.6791566773342,-1.02291325695581,3880,0.134020618556701,0.382671273952651,NA,NA,"Portugal","PRT"
1966,570,9.61538461538461,NA,17.1424256917843,NA,2.66531713900135,4190,0.136038186157518,0.201756760081687,NA,NA,"Portugal","PRT"
1967,640,12.280701754386,NA,18.497283424351,NA,1.78179824561403,4370,0.146453089244851,1.04149030873334,0.429061784897025,NA,"Portugal","PRT"
1968,730,14.0625,NA,17.4545384278017,NA,-5.84332191780822,4740,0.154008438818565,0.755534957371415,0.558174641473947,0.129112856576922,"Portugal","PRT"
1969,790,8.21917808219178,9.85663381231228,17.0560650236877,7.19943121137541,12.0339864747702,5070,0.155818540433925,0.181010161535963,0.51249269233501,-0.0456819491389371,"Portugal","PRT"
1970,950,20.253164556962,12.0530789232372,14.7758765860591,2.72279766282198,-7.62158560959361,5230,0.181644359464627,2.58258190307021,0.952474818158522,0.439982125823512,"Portugal","PRT"
1971,1070,12.6315789473684,12.5286865469476,13.559254784642,1.03056823769442,6.06000983767831,5620,0.190391459074733,0.874709961010595,1.0870654583443,0.134590640185782,"Portugal","PRT"
1972,1270,18.6915887850467,13.6791566773342,12.8088471264733,-0.870309550860929,15.1666789314887,6280,0.202229299363057,1.18378402883242,1.11552420236412,0.0284587440198176,"Portugal","PRT"
1973,1700,33.8582677165354,17.1424256917843,10.3612001206765,-6.78122557110779,-12.0935618341825,7290,0.233196159122085,3.09668597590277,1.58375440607039,0.468230203706271,"Portugal","PRT"
1974,2070,21.7647058823529,18.497283424351,7.55046388588412,-10.9468195384669,-15.0014208581984,7980,0.259398496240602,2.62023371185165,2.07159911613353,0.487844710063137,"Portugal","PRT"
1975,2210,6.76328502415459,17.4545384278017,5.7906295173541,-11.6639089104476,-1.33342077076092,8510,0.259694477085781,0.02959808451799,1.56100235242309,-0.510596763710444,"Portugal","PRT"
1976,2330,5.42986425339367,17.0560650236877,3.24580591989892,-13.8102591037888,-1.13801875983143,8960,0.260044642857143,0.0350165771361433,1.3930636756482,-0.16793867677489,"Portugal","PRT"
1977,2430,4.29184549356223,14.7758765860591,1.06781890592713,-13.708057680132,-0.176619156113672,9590,0.253388946819604,-0.665569603753907,1.02319294913093,-0.369870726517266,"Portugal","PRT"
1978,2530,4.11522633744856,13.559254784642,0.536618771552394,-13.0226360130896,9.32350884041705,10760,0.235130111524164,-1.82588352954402,0.0386790480415705,-0.984513901089358,"Portugal","PRT"
1979,2870,13.4387351778656,12.8088471264733,1.72238952254054,-11.0864576039328,3.28600349809258,12200,0.235245901639344,0.0115790115180675,-0.483051892025145,-0.521730940066716,"Portugal","PRT"
1980,3350,16.7247386759582,10.3612001206765,4.34241757810866,-6.01878254256788,-14.6351864371522,13380,0.250373692077728,1.51277904383837,-0.186415700161069,0.296636191864076,"Portugal","PRT"
1981,3420,2.08955223880597,7.55046388588412,9.09198703849902,1.5415231526149,-7.64510779436153,14360,0.238161559888579,-1.22121321891486,-0.437661659371269,-0.2512459592102,"Portugal","PRT"
1982,3230,-5.55555555555556,5.7906295173541,11.6364624959407,5.84583297858663,-6.82834537323702,14220,0.227144866385373,-1.10166935032067,-0.524881608684621,-0.0872199493133524,"Portugal","PRT"
1983,2830,-12.3839009287926,3.24580591989892,15.2365134423686,11.9907075224697,1.42983732455229,14570,0.19423472889499,-3.2910137490383,-0.817907652583477,-0.293026043898856,"Portugal","PRT"
1984,2520,-10.9540636042403,1.06781890592713,18.9051664878151,17.8373475818879,11.3508890010657,16210,0.155459592843923,-3.87751360510662,-1.59572617590842,-0.777818523324938,"Portugal","PRT"
1985,2530,0.396825396825397,0.536618771552394,21.7824624754848,21.2458437039324,21.3423050379572,17460,0.144902634593356,-1.05569582505672,-2.10942114968743,-0.513694973779019,"Portugal","PRT"
1986,3080,21.7391304347826,1.72238952254054,19.0245977103883,17.3022081878478,13.3258046301525,19110,0.161172161172161,1.62695265788049,-1.53978797432836,0.56963317535907,"Portugal","PRT"
1987,4160,35.0649350649351,4.34241757810866,14.510370777491,10.1679531993823,0.271603396603396,21390,0.194483403459561,3.33112422873994,-0.653229258516243,0.886558715812121,"Portugal","PRT"
1988,5630,35.3365384615385,9.09198703849902,10.5012548933751,1.40926785487607,-23.080765815002,23490,0.239676458067263,4.51930546077021,0.908834583445459,1.5620638419617,"Portugal","PRT"
1989,6320,12.2557726465364,11.6364624959407,9.88462164031439,-1.75184085562634,0.560683049666119,23770,0.265881363062684,2.62049049954214,2.20843540437521,1.29960082092975,"Portugal","PRT"
1990,7130,12.8164556962025,15.2365134423686,8.3724715349537,-6.8640419074149,1.91005201768246,24060,0.296342477140482,3.04611140777981,3.02879685094252,0.820361446567306,"Portugal","PRT"
